Program Time [s],data 0
646.755,60
646.755,40
646.759,14
646.759,-10
646.759,-29
646.763,-39
646.763,-42
646.763,-40
646.763,-35
646.767,-34
646.767,-35
646.767,-29
646.771,-10
646.771,17
646.771,44
646.771,64
646.775,73
646.775,65
646.775,46
646.779,22
646.779,-3
646.78,-24
646.78,-37
646.784,-42
646.784,-40
646.784,-36
646.788,-33
646.788,-34
646.788,-32
646.788,-17
646.792,8
646.792,34
646.792,58
646.796,72
646.796,70
646.796,55
646.796,31
646.8,5
646.8,-17
646.8,-33
646.8,-40
646.804,-41
646.804,-37
646.804,-32
646.808,-33
646.808,-33
646.808,-24
646.808,-2
646.812,24
646.812,50
646.812,67
646.816,71
646.816,61
646.816,40
646.816,14
646.82,-10
646.82,-29
646.82,-40
646.825,-42
646.825,-39
646.825,-34
646.825,-34
646.829,-35
646.829,-29
646.829,-10
646.833,16
646.833,43
646.833,65
646.833,74
646.837,66
646.837,47
646.837,22
646.841,-3
646.841,-23
646.841,-36
646.841,-41
646.845,-40
646.845,-35
646.845,-33
646.849,-34
646.849,-32
646.849,-18
646.849,7
646.853,35
646.853,58
646.853,71
646.853,70
646.857,55
646.857,31
646.857,5
646.861,-17
646.861,-33
646.861,-40
646.861,-41
646.865,-37
646.865,-33
646.865,-33
646.87,-33
646.87,-24
646.87,-3
646.87,24
646.874,49
646.874,67
646.874,71
646.878,61
646.878,41
646.878,15
646.878,-9
646.882,-28
646.882,-39
646.882,-42
646.886,-40
646.886,-34
646.886,-33
646.886,-35
646.89,-30
646.89,-11
646.89,14
646.894,42
646.894,63
646.894,72
646.894,67
646.898,48
646.898,23
646.898,-2
646.902,-23
646.902,-35
646.902,-40
646.902,-39
646.906,-36
646.906,-33
646.906,-34
646.906,-32
646.911,-19
646.911,5
646.911,33
646.915,57
646.915,71
646.915,71
646.915,56
646.919,32
646.919,6
646.919,-16
646.923,-32
646.923,-40
646.923,-41
646.923,-37
646.927,-33
646.927,-33
646.927,-33
646.931,-24
646.931,-3
646.931,24
646.931,49
646.935,67
646.935,71
646.935,61
646.939,41
646.939,16
646.939,-9
646.939,-28
646.943,-38
646.943,-42
646.943,-39
646.943,-35
646.947,-34
646.947,-35
646.947,-30
646.952,-12
646.952,14
646.952,42
646.952,63
646.956,72
646.956,67
646.956,48
646.96,23
646.96,-2
646.96,-22
646.96,-35
646.964,-40
646.964,-40
646.964,-36
646.968,-33
646.968,-34
646.968,-32
646.968,-19
646.972,4
646.972,32
646.972,56
646.976,71
646.976,71
646.976,57
646.976,33
646.98,7
646.98,-16
646.98,-31
646.984,-39
646.984,-41
646.984,-38
646.984,-34
646.988,-33
646.988,-34
646.988,-25
646.988,-4
646.992,22
646.992,48
646.992,67
646.997,73
646.997,62
646.997,42
646.997,16
647.001,-9
647.001,-28
647.001,-38
647.005,-42
647.005,-40
647.005,-35
647.005,-34
647.009,-35
647.009,-30
647.009,-12
647.013,13
647.013,41
647.013,63
647.013,74
647.017,68
647.017,49
647.017,23
647.021,-2
647.021,-23
647.021,-35
647.021,-40
647.025,-40
647.025,-36
647.025,-33
647.029,-34
647.029,-32
647.029,-19
647.029,4
647.033,32
647.033,56
647.033,71
647.037,70
647.038,57
647.038,34
647.038,8
647.042,-15
647.042,-31
647.042,-40
647.042,-41
647.046,-38
647.046,-33
647.046,-33
647.05,-34
647.05,-26
647.05,-5
647.05,20
647.054,47
647.054,66
647.054,72
647.058,63
647.058,43
647.058,17
647.058,-7
647.062,-27
647.062,-38
647.062,-41
647.066,-39
647.066,-35
647.066,-34
647.066,-35
647.07,-31
647.07,-14
647.07,11
647.074,39
647.074,62
647.074,73
647.074,69
647.078,52
647.078,26
647.078,0
647.083,-20
647.083,-34
647.083,-40
647.083,-40
647.087,-36
647.087,-32
647.087,-34
647.087,-33
647.091,-21
647.091,3
647.091,30
647.095,55
647.095,70
647.095,72
647.095,57
647.099,36
647.099,9
647.099,-14
647.103,-31
647.103,-40
647.103,-41
647.103,-38
647.107,-34
647.107,-34
647.107,-34
647.111,-26
647.111,-6
647.111,20
647.111,46
647.115,66
647.115,72
647.115,64
647.119,44
647.119,19
647.119,-6
647.119,-26
647.124,-38
647.124,-42
647.124,-40
647.128,-35
647.128,-33
647.128,-35
647.128,-31
647.132,-15
647.132,10
647.132,38
647.132,61
647.136,73
647.136,68
647.136,52
647.14,27
647.14,0
647.14,-20
647.14,-34
647.144,-40
647.144,-40
647.144,-36
647.148,-32
647.148,-33
647.148,-32
647.148,-21
647.152,1
647.152,29
647.152,54
647.156,69
647.156,71
647.156,58
647.156,36
647.16,10
647.16,-13
647.16,-31
647.164,-39
647.164,-42
647.164,-38
647.164,-34
647.169,-33
647.169,-34
647.169,-27
647.169,-7
647.173,19
647.173,45
647.173,65
647.177,73
647.177,64
647.177,44
647.177,19
647.181,-5
647.181,-25
647.181,-37
647.185,-42
647.185,-41
647.185,-35
647.185,-33
647.189,-35
647.189,-32
647.189,-15
647.193,9
647.193,38
647.193,60
647.193,72
647.197,68
647.197,52
647.197,28
647.201,2
647.201,-18
647.201,-33
647.201,-40
647.206,-40
647.206,-36
647.206,-31
647.21,-32
647.21,-33
647.21,-22
647.21,0
647.214,27
647.214,52
647.214,69
647.218,72
647.218,59
647.218,38
647.218,13
647.222,-11
647.222,-29
647.222,-39
647.222,-42
647.226,-39
647.226,-35
647.226,-33
647.23,-34
647.23,-27
647.23,-8
647.23,18
647.234,44
647.234,64
647.234,72
647.238,65
647.238,45
647.238,20
647.238,-4
647.242,-24
647.242,-36
647.242,-41
647.255,-40
647.255,-36
647.255,-33
647.255,-34
647.255,-31
647.255,-17
647.255,7
647.255,35
647.255,59
647.255,71
647.255,70
647.259,55
