Program Time [s],data 0,data 1
158.713,4,4
158.717,3,1
158.717,0,0
158.721,0,0
158.721,1,1
158.721,1,0
158.725,0,1
158.725,2,3
158.729,2,2
158.729,1,1
158.733,2,2
158.733,3,2
158.733,1,1
158.737,0,1
158.737,3,3
158.741,3,1
158.741,0,1
158.745,1,2
158.745,3,1
158.745,0,1
158.749,1,1
158.749,1,2
158.754,2,2
158.754,1,1
158.758,1,1
158.758,2,2
158.758,2,2
158.762,1,1
158.762,1,2
158.766,2,2
158.766,2,2
158.77,1,1
158.77,1,2
158.77,2,2
158.774,2,3
158.774,3,2
158.778,1,0
158.778,0,0
158.782,1,1
158.782,2,2
158.782,1,1
158.786,2,1
158.786,0,0
158.79,1,2
158.79,3,4
158.795,3,1
158.795,0,1
158.795,1,1
158.799,2,2
158.799,2,2
158.803,2,1
158.803,0,1
158.803,2,2
158.807,2,2
158.807,2,0
158.811,0,0
158.811,1,2
158.815,2,1
158.815,1,1
158.815,1,2
158.819,3,4
158.819,3,2
158.823,1,1
158.823,1,0
158.827,0,0
158.827,0,1
158.827,1,2
158.831,3,3
158.831,2,1
158.836,0,0
158.836,0,2
158.84,4,4
158.84,3,2
158.84,0,-1
158.844,-1,0
158.844,1,3
158.848,4,4
158.848,2,1
158.852,1,1
158.852,0,0
158.852,1,2
158.856,1,1
158.856,0,1
158.86,2,1
158.86,0,0
158.864,2,2
158.864,2,1
158.864,1,2
158.868,2,3
158.868,2,2
158.872,1,0
158.872,0,1
158.876,1,1
158.876,2,2
158.876,1,1
158.881,1,1
158.881,2,2
158.885,2,2
158.885,2,2
158.885,1,0
158.889,-1,0
158.889,1,6
158.893,8,5
158.893,1,0
158.897,0,1
158.897,2,2
158.897,2,2
158.901,1,0
158.901,0,0
158.905,0,0
158.905,1,2
158.909,2,0
158.909,1,1
158.909,2,4
158.913,6,5
158.913,4,3
158.917,4,1
158.917,0,-2
158.922,-3,-2
158.922,0,1
158.922,2,3
158.926,3,2
158.926,2,2
158.93,2,4
158.93,5,4
158.934,3,3
158.934,1,1
158.934,0,0
158.938,0,0
158.938,1,2
158.942,2,1
158.942,1,0
158.946,0,0
158.946,0,0
158.946,0,2
158.95,5,5
158.95,5,2
158.954,1,0
158.954,0,0
158.958,0,1
158.958,2,4
158.958,3,3
158.962,2,0
158.962,0,0
158.967,0,0
158.967,2,2
158.967,3,2
158.971,3,3
158.971,3,2
158.975,2,2
158.975,2,1
158.979,1,1
158.979,1,0
158.979,0,0
158.983,0,0
158.983,0,1
158.987,2,3
158.987,3,3
158.991,4,4
158.991,2,2
158.991,2,2
158.995,2,1
158.995,1,0
158.999,0,0
158.999,0,1
159.004,0,0
159.004,0,2
159.004,3,2
159.008,1,2
159.008,3,4
159.012,3,3
159.012,2,2
159.016,1,1
159.016,1,0
159.016,0,0
159.02,2,2
159.02,2,2
159.024,1,0
159.024,0,0
159.028,1,1
159.028,1,2
159.028,3,3
159.032,2,2
159.032,1,0
159.036,0,0
159.036,1,3
159.04,3,3
159.04,0,1
159.04,1,1
159.044,2,2
159.044,3,2
159.049,2,2
159.049,2,0
159.053,0,0
159.053,1,2
159.053,2,3
159.057,3,3
159.057,2,1
159.061,0,0
159.061,0,1
159.061,1,2
159.065,2,2
159.065,2,1
159.069,1,1
159.069,2,2
159.073,2,2
159.073,2,2
159.073,2,2
159.077,3,2
159.077,1,1
159.081,0,0
159.081,0,1
159.085,2,2
159.085,2,1
159.085,1,1
159.089,1,2
159.089,2,2
159.094,2,2
159.094,2,2
159.098,2,2
159.098,2,1
159.098,1,1
159.102,1,0
159.102,0,1
159.106,2,2
159.106,3,3
159.11,2,2
159.11,2,2
159.11,3,2
159.114,2,1
159.114,1,1
159.118,1,1
159.118,1,1
159.122,0,1
159.122,2,2
159.122,2,1
159.126,0,0
159.126,0,1
159.13,1,2
159.13,2,2
159.135,2,2
159.135,1,1
159.135,1,3
159.139,4,3
159.139,2,1
159.143,0,0
159.143,1,1
159.143,2,2
159.147,1,1
159.147,1,2
159.151,2,3
159.151,3,1
159.155,1,1
159.155,2,1
159.155,0,0
159.159,1,2
159.159,2,2
159.163,2,2
159.163,1,1
159.167,1,0
159.167,0,1
159.167,1,2
159.171,3,3
159.171,4,2
159.175,2,1
159.175,1,1
159.18,0,0
159.18,0,1
159.18,1,1
159.184,1,1
159.184,2,2
159.188,2,3
159.188,3,2
159.192,1,0
159.192,0,1
159.192,1,1
159.196,2,2
159.196,2,2
159.2,2,1
159.2,0,1
159.204,4,3
159.204,2,1
159.204,1,1
159.208,1,1
159.208,1,1
159.212,1,1
159.212,1,1
159.216,1,1
159.216,0,1
159.216,1,1
159.221,1,1
159.221,2,2
159.225,1,2
159.225,2,2
159.225,2,2
159.229,2,2
159.229,2,2
159.233,1,1
159.233,2,2
159.237,2,2
159.237,2,1
159.237,1,1
159.241,1,1
159.241,2,2
159.245,1,1
159.245,2,2
159.249,2,2
159.249,2,1
159.249,1,1
159.253,1,2
159.253,2,2
159.257,1,1
159.257,2,2
159.261,3,2
159.261,1,0
159.262,0,0
159.266,0,1
159.266,4,5
159.27,4,3
159.27,1,1
159.274,0,0
159.274,0,0
159.274,0,0
159.278,1,2
159.278,3,3
159.282,3,1
159.282,0,0
159.286,0,0
159.286,0,1
159.286,2,2
159.29,2,2
159.29,2,2
159.294,2,2
159.294,2,2
159.298,2,2
159.298,2,2
159.298,1,1
159.302,1,1
159.302,1,1
159.307,1,1
159.307,2,3
159.311,3,3
159.311,1,0
159.311,1,2
159.315,2,2
159.315,1,1
159.319,1,1
159.319,1,1
159.319,0,1
159.323,0,0
159.323,0,2
159.327,3,3
159.327,3,2
159.331,1,1
159.331,1,1
159.331,1,2
159.335,2,2
159.335,2,2
159.339,2,2
159.339,1,2
159.343,2,2
159.343,1,1
159.343,1,1
159.347,1,1
159.348,2,2
159.352,2,3
159.352,2,1
159.356,1,1
