Program Time [s],data 0,data 1,data 2,data 3
13623.6,5,2,1,3
13623.6,4,2,3,5
13623.6,5,3,3,5
13623.6,5,4,3,4
13623.6,5,7,6,4
13623.6,4,8,6,0
13623.6,0,4,2,-1
13623.6,0,1,0,-1
13623.6,0,5,4,0
13623.6,0,5,5,0
13623.6,0,1,1,0
13623.6,0,1,1,2
13623.6,2,2,1,1
13623.6,2,3,2,2
13623.6,4,6,5,2
13623.6,2,4,4,2
13623.6,1,0,1,2
13623.6,2,0,0,2
13623.6,3,1,0,2
13623.6,3,2,1,2
13623.6,3,2,2,3
13623.6,4,2,1,5
13623.6,4,2,1,3
13623.6,5,4,3,3
13623.6,4,4,2,3
13623.6,5,5,3,5
13623.6,7,6,5,5
13623.6,5,3,1,3
13623.6,3,2,1,1
13623.6,3,2,0,0
13623.6,2,2,1,1
13623.6,3,4,1,0
13623.6,2,2,1,0
13623.6,0,1,0,0
13623.6,1,1,0,0
13623.6,1,3,3,3
13623.6,4,5,4,3
13623.6,4,4,3,2
13623.6,2,1,0,0
13623.6,1,1,0,1
13623.6,1,2,1,2
13623.6,2,2,3,4
13623.6,6,5,4,4
13623.6,5,4,3,4
13623.6,4,3,3,3
13623.6,4,5,4,2
13623.6,3,5,5,0
13623.6,0,5,6,2
13623.6,0,3,4,1
13623.6,0,1,2,0
13623.6,0,1,1,1
13623.6,2,3,2,2
13623.6,4,4,2,2
13623.6,4,3,0,1
13623.6,3,1,-1,1
13623.6,4,2,0,2
13623.6,6,4,1,1
13623.6,4,5,2,1
13623.6,3,4,2,0
13623.6,1,1,0,0
13623.6,1,1,1,1
13623.6,3,3,2,3
13623.6,5,4,2,4
13623.6,6,6,5,4
13623.6,5,5,5,5
13623.6,5,4,2,1
13623.6,2,3,2,1
13623.6,1,1,0,0
13623.6,1,0,0,1
13623.6,2,2,1,3
13623.6,3,3,2,1
13623.6,1,2,0,1
13623.6,1,1,1,1
13623.6,3,3,3,3
13623.6,4,5,4,3
13623.6,3,4,3,2
13623.6,2,3,2,2
13623.6,2,3,2,2
13623.6,3,5,4,3
13623.6,4,5,4,3
13623.6,3,3,2,3
13623.6,2,1,0,1
13623.6,2,1,0,1
13623.6,3,3,2,2
13623.6,4,5,4,4
13623.6,5,5,5,4
13623.6,4,4,3,2
13623.6,3,3,1,1
13623.6,2,2,1,1
13623.6,2,2,1,1
13623.6,2,2,1,1
13623.6,2,2,0,1
13623.6,2,2,0,0
13623.6,1,2,1,2
13623.6,4,5,4,3
13623.6,4,5,4,3
13623.6,4,3,3,2
13623.6,4,4,3,2
13623.6,3,2,1,0
13623.6,2,1,0,0
13623.6,2,2,1,0
13623.6,2,2,1,1
13623.6,3,2,1,1
13623.6,3,3,2,2
13623.6,3,3,2,2
13623.6,3,3,2,0
13623.6,2,4,2,0
13623.6,2,5,4,1
13623.6,1,3,3,1
13623.6,1,3,3,1
13623.6,2,4,3,2
13623.6,3,4,4,2
13623.6,3,5,5,3
13623.6,5,7,6,4
13623.6,4,6,4,3
13623.6,3,2,3,6
13623.6,6,3,1,6
13623.6,6,0,0,3
13623.6,3,-1,-2,1
13623.6,1,-2,-3,0
13623.6,0,-1,-2,0
13623.6,1,0,0,1
13623.6,2,3,3,2
13623.6,4,5,4,3
13623.6,4,7,5,3
13623.6,4,6,5,3
13623.6,3,4,2,1
13623.6,2,3,2,1
13623.6,1,2,2,2
13623.6,4,4,3,4
13623.6,5,3,2,2
13623.6,3,2,1,1
13623.6,2,2,1,0
13623.6,2,2,1,1
13623.6,1,2,1,2
13623.6,3,4,2,2
13623.6,2,2,1,2
13623.6,2,2,1,2
13623.6,3,2,1,2
13623.6,3,2,1,2
13623.7,4,5,3,2
13623.7,3,4,3,3
13623.7,4,5,4,3
13623.7,3,3,2,1
13623.7,2,3,1,0
13623.7,2,3,3,2
13623.7,4,5,5,4
13623.7,3,4,4,1
13623.7,2,3,2,1
13623.7,1,3,3,2
13623.7,3,3,2,2
13623.7,3,4,3,2
13623.7,2,3,1,1
13623.7,1,3,2,1
13623.7,1,1,1,1
13623.7,1,0,0,1
13623.7,2,1,0,3
13623.7,4,2,1,2
13623.7,4,1,0,3
13623.7,5,3,2,4
13623.7,6,5,4,5
13623.7,6,7,5,4
13623.7,6,9,7,2
13623.7,6,14,11,0
13623.7,0,6,4,-2
13623.7,-3,0,0,-3
13623.7,-3,-2,-2,-3
13623.7,-2,-3,-3,-1
13623.7,0,-1,-2,0
13623.7,2,1,0,3
13623.7,4,2,1,4
13623.7,7,7,5,5
13623.7,7,7,6,4
13623.7,6,8,6,4
13623.7,4,6,4,3
13623.7,3,5,4,1
13623.7,1,2,2,0
13623.7,-3,-5,-4,-1
13623.7,-4,-9,-4,2
13623.7,2,-3,0,7
13623.7,7,1,2,8
13623.7,9,6,5,8
13623.7,10,9,6,7
13623.7,9,8,5,5
13623.7,6,5,1,1
13623.7,4,3,1,2
13623.7,4,2,0,0
13623.7,2,3,0,0
13623.7,1,3,2,1
13623.7,3,5,4,1
13623.7,3,6,5,0
13623.7,1,4,2,0
13623.7,0,2,2,0
13623.7,0,1,0,0
13623.7,1,1,0,0
13623.7,0,1,0,0
13623.7,0,0,0,1
13623.7,1,2,1,2
13623.7,3,5,5,5
13623.7,5,5,6,5
13623.7,6,5,5,5
13623.7,5,4,4,4
13623.7,5,5,4,3
13623.7,4,3,2,1
13623.7,2,2,1,0
13623.7,0,1,0,0
13623.7,0,1,0,0
13623.7,2,2,1,1
13623.7,2,2,1,1
13623.7,3,4,3,2
13623.7,3,3,2,1
13623.7,3,3,3,2
13623.7,2,2,2,3
13623.7,4,3,2,2
13623.7,3,3,2,1
13623.7,2,3,2,3
13623.7,3,4,3,3
13623.7,3,2,1,3
13623.7,4,2,2,3
13623.7,3,3,2,3
13623.7,3,3,2,2
13623.7,4,4,3,3
13623.7,4,5,5,3
13623.7,4,4,4,2
13623.7,3,6,4,2
13623.7,2,5,3,0
13623.7,1,4,2,0
13623.7,0,2,2,0
13623.7,0,2,1,0
13623.7,0,1,0,0
13623.7,0,1,0,1
13623.7,2,2,2,2
13623.7,4,5,4,3
13623.7,4,4,3,2
13623.7,4,4,2,2
13623.7,2,1,2,2
13623.7,2,1,0,1
13623.7,2,1,0,2
13623.7,3,2,1,3
13623.7,5,3,3,4
13623.7,5,5,4,3
13623.7,4,3,2,2
13623.7,3,3,1,1
13623.7,2,2,1,2
13623.7,2,2,1,1
13623.7,3,3,2,2
13623.7,3,4,3,3
13623.7,3,4,3,2
13623.7,3,4,4,3
13623.7,2,2,2,1
13623.7,1,1,1,1
13623.7,2,2,1,2
13623.7,4,3,3,2
13623.7,4,5,3,2
13623.7,2,2,1,0
13623.7,2,2,2,1
13623.7,3,4,3,3
13623.7,4,4,4,2
