Program Time [s],data 0,data 1,data 2,data 3
127.838,5,2,1,4
127.839,5,2,2,6
127.84,8,5,2,5
127.84,7,4,2,5
127.841,6,3,1,4
127.841,5,3,1,3
127.842,5,4,3,3
127.842,4,4,2,2
127.843,4,4,3,2
127.844,1,3,3,1
127.844,1,3,2,0
127.845,1,2,2,1
127.845,1,2,2,1
127.846,1,2,3,2
127.846,2,3,2,1
127.847,2,1,0,1
127.848,1,1,1,2
127.848,1,0,1,2
127.849,2,0,0,3
127.849,4,2,1,5
127.85,7,4,2,3
127.85,7,6,4,4
127.851,8,9,6,5
127.852,9,10,5,3
127.852,7,8,2,-1
127.853,4,5,-1,-5
127.853,0,2,-1,-5
127.854,-4,0,-1,-4
127.854,-3,0,0,-2
127.855,-2,0,1,0
127.856,0,1,2,1
127.856,1,2,4,4
127.857,3,3,4,5
127.857,3,1,3,5
127.858,5,1,1,5
127.858,5,0,0,5
127.859,6,1,0,5
127.86,7,2,1,7
127.86,8,3,2,6
127.861,7,4,2,5
127.861,6,3,2,4
127.862,5,5,3,4
127.862,5,5,4,3
127.863,4,5,3,2
127.864,2,3,1,0
127.864,1,3,2,0
127.865,0,2,2,0
127.865,0,0,1,0
127.866,0,1,0,0
127.866,1,1,1,2
127.867,3,3,3,2
127.868,2,2,1,3
127.868,3,1,0,3
127.869,4,3,2,5
127.869,5,3,2,4
127.87,5,2,2,3
127.871,3,3,2,3
127.871,6,7,6,3
127.872,6,9,5,2
127.872,2,6,4,-1
127.873,0,4,3,0
127.873,0,3,2,0
127.874,0,2,1,0
127.875,0,1,0,-1
127.875,0,0,0,0
127.876,0,0,0,0
127.876,2,1,1,3
127.877,3,1,1,4
127.877,4,2,2,4
127.878,5,3,2,5
127.879,5,2,1,4
127.879,5,2,2,4
127.88,5,0,0,4
127.88,5,0,0,5
127.881,8,3,1,6
127.881,9,5,1,4
127.882,7,6,3,4
127.883,5,4,2,3
127.883,3,4,2,2
127.884,3,4,3,1
127.884,2,4,2,2
127.885,4,4,2,1
127.885,2,2,0,0
127.886,0,0,0,0
127.887,0,0,0,0
127.887,1,1,0,0
127.888,2,2,1,2
127.888,2,2,2,3
127.889,3,3,3,3
127.889,3,3,3,3
127.89,4,4,4,5
127.891,4,4,4,3
127.891,6,9,7,4
127.892,5,8,6,2
127.892,3,6,3,0
127.893,2,4,1,-2
127.894,-1,2,0,-2
127.894,-1,0,0,-2
127.895,0,0,0,0
127.895,0,2,1,0
127.896,0,0,1,0
127.896,0,0,3,3
127.897,2,0,3,4
127.898,3,0,2,5
127.898,4,0,1,5
127.899,4,1,2,7
127.899,7,2,2,6
127.9,7,2,1,5
127.9,7,3,2,6
127.901,7,4,2,5
127.902,6,5,3,4
127.902,5,5,4,3
127.903,3,3,3,2
127.903,2,3,2,2
127.904,3,2,1,1
127.904,4,3,2,2
127.905,2,2,0,0
127.906,1,1,0,0
127.906,1,1,0,1
127.907,2,2,1,2
127.907,3,3,1,2
127.908,4,3,1,1
127.908,4,4,2,2
127.909,4,5,2,1
127.91,2,2,1,3
127.91,3,2,0,1
127.911,3,4,2,2
127.911,5,6,5,1
127.912,2,5,5,1
127.912,1,4,4,1
127.913,1,5,5,2
127.914,2,4,3,1
127.914,1,3,3,0
127.915,0,3,4,1
127.915,0,2,2,0
127.916,0,2,2,1
127.917,2,2,2,1
127.917,0,-2,-2,1
127.918,1,-3,-4,2
127.918,6,0,-2,5
127.919,10,4,0,5
127.919,12,6,0,3
127.92,6,2,0,4
127.921,6,3,2,5
127.921,4,2,2,4
127.922,5,3,3,5
127.922,5,4,4,3
127.923,4,5,4,4
127.923,4,5,5,3
127.924,4,4,3,0
127.925,0,3,2,0
127.925,0,2,3,1
127.926,1,3,2,0
127.926,1,3,2,1
127.927,1,2,1,0
127.927,0,0,0,1
127.928,2,0,0,2
127.929,4,0,0,3
127.929,6,4,0,4
127.93,7,4,0,2
127.93,6,4,0,2
127.931,5,3,1,2
127.931,5,7,5,3
127.932,5,8,6,2
127.933,2,4,4,0
127.933,0,3,3,0
127.934,-1,2,1,-1
127.934,-2,0,1,-1
127.935,-2,-1,1,0
127.935,0,0,1,2
127.936,1,1,3,3
127.937,4,3,4,5
127.937,4,3,3,5
127.938,4,1,1,4
127.938,4,0,0,4
127.939,5,0,-1,4
127.939,6,1,0,5
127.94,10,7,4,6
127.941,10,8,3,5
127.941,6,5,2,3
127.942,6,5,2,2
127.942,2,1,0,0
127.943,0,-1,-1,0
127.944,1,1,0,2
127.944,3,4,3,3
127.945,4,5,4,3
127.945,3,3,2,2
127.946,3,4,2,1
127.946,2,3,3,2
127.947,3,3,2,1
127.948,2,2,2,1
127.948,1,2,1,1
127.949,2,2,1,2
127.949,3,2,1,1
127.95,2,1,1,1
127.95,1,2,1,2
127.951,4,5,5,3
127.951,4,7,6,3
127.952,3,7,6,2
127.953,2,5,4,1
127.953,1,4,4,1
127.954,1,2,1,0
127.954,0,2,0,-1
127.955,0,2,0,0
127.956,1,2,1,1
127.956,2,2,1,1
127.957,3,2,0,1
127.957,3,0,0,1
127.958,2,0,0,2
127.958,4,0,0,4
127.959,5,1,1,5
127.96,6,1,1,5
127.96,6,2,1,5
